frame,openness,energy
265,6.2085,0.079237
266,4.3691,0.080191
267,3.2580,0.076266
268,3.7088,0.055426
269,4.8911,0.016743
270,7.0864,0.011293
271,6.5106,0.041394
272,6.1976,0.063567
273,6.0263,0.066614
274,6.1078,0.067451
275,7.0168,0.055651
276,6.9615,0.030556
277,6.6758,0.031998
278,6.6928,0.038118
279,6.5437,0.035623
280,6.5922,0.039204
281,6.5687,0.034430
282,6.8877,0.031191
283,6.7126,0.035024
284,6.6510,0.031895
285,5.7722,0.033815
286,4.5732,0.038027
287,5.5779,0.076466
288,5.9222,0.094702
289,5.8634,0.104325
290,6.2014,0.104453
291,6.7639,0.079228
292,6.0400,0.054080
293,5.3458,0.026858
294,5.5859,0.006930
295,5.8564,0.001774
296,6.2270,0.000271
297,6.3557,0.000147
298,6.9832,0.000000
299,4.8988,0.000000
300,4.8988,0.000000
301,7.1165,0.000063
302,6.1064,0.000098
303,5.3578,0.000209
304,4.6013,0.000449
305,4.8518,0.003625
306,5.0252,0.058979
307,6.0542,0.091515
308,5.8739,0.097857
309,5.3125,0.097949
310,4.5543,0.078790
311,5.6940,0.044770
312,6.5551,0.088615
313,6.5016,0.092235
314,5.9371,0.093289
315,5.5457,0.090663
316,4.6897,0.039346
317,6.0742,0.034546
318,6.0420,0.038781
319,5.3035,0.045881
320,2.9663,0.042350
321,2.9862,0.038714
322,6.0727,0.030530
323,5.6532,0.023656
324,5.4193,0.040294
325,3.0750,0.070710
326,3.0457,0.079200
327,4.9890,0.076479
328,3.9338,0.070010
329,2.8205,0.040534
330,6.4270,0.030465
331,6.4469,0.039953
332,6.5566,0.040184
333,6.5663,0.040637
334,6.7128,0.040264
335,7.3638,0.033194
336,7.4665,0.036192
337,6.8949,0.036818
338,3.7381,0.030372
339,2.7267,0.030691
340,3.1054,0.026455
341,4.7427,0.033354
342,6.9956,0.042143
343,6.8128,0.041868
344,7.0550,0.046068
345,6.6884,0.050647
346,6.6730,0.042472
347,5.1989,0.040916
348,3.6530,0.042192
349,5.2303,0.048830
350,5.4033,0.049478
351,5.2766,0.049263
352,3.9499,0.042368
353,6.0107,0.011282
354,6.9533,0.014124
355,5.1529,0.056315
356,3.4834,0.065689
357,2.7795,0.066647
358,2.9416,0.068479
359,2.8453,0.046993
360,5.3477,0.035728
361,6.9037,0.039632
362,6.8612,0.036692
363,5.5108,0.029163
364,3.9062,0.025064
365,3.9867,0.013375
366,3.7216,0.001985
367,3.6419,0.000169
368,4.6517,0.000041
369,6.2389,0.000033
370,7.1139,0.000000
371,4.8988,0.000000
372,4.8988,0.000000
373,4.8988,0.000000
374,4.8988,0.000000
375,4.8988,0.000000
376,4.8988,0.000000
377,4.8988,0.000000
378,4.8988,0.000000
379,4.8988,0.000000
380,4.8988,0.000000
381,4.8988,0.000000
382,4.8988,0.000000
383,4.8988,0.000000
384,6.7594,0.000029
385,6.2788,0.000044
386,5.7198,0.000264
387,5.4307,0.036801
388,5.5380,0.078152
389,5.2789,0.105852
390,5.4212,0.106138
391,5.5895,0.100544
392,5.3252,0.082095
393,5.8938,0.050482
394,6.0094,0.051117
395,5.6100,0.049566
396,6.0578,0.032831
397,6.3478,0.018077
398,3.7419,0.057341
399,3.5033,0.073513
400,3.4549,0.076548
401,3.8994,0.076438
