frame,openness,energy
0,4.8988,0.000000
1,4.8988,0.000000
2,4.8988,0.000000
3,4.8988,0.000000
4,4.8988,0.000000
5,4.8988,0.000000
6,4.8988,0.000000
7,4.8988,0.000000
8,4.8988,0.000000
9,4.8988,0.000000
10,4.8988,0.000000
11,4.8988,0.000000
12,4.8988,0.000000
13,4.8988,0.000000
14,4.8988,0.000000
15,4.8988,0.000000
16,4.8988,0.000000
17,4.8988,0.000000
18,4.8988,0.000000
19,4.8988,0.000000
20,4.8988,0.000000
21,4.8988,0.000000
22,4.8988,0.000000
23,4.8988,0.000000
24,4.8988,0.000000
25,4.8988,0.000000
26,4.8988,0.000000
27,4.8988,0.000000
28,4.8988,0.000000
29,4.8988,0.000000
30,4.8988,0.000000
31,4.8988,0.000000
32,4.8988,0.000000
33,4.8988,0.000000
34,4.8988,0.000000
35,4.8988,0.000000
36,4.8988,0.000000
37,4.8988,0.000000
38,4.8988,0.000000
39,4.8988,0.000000
40,4.8988,0.000000
41,4.8988,0.000000
42,4.8988,0.000000
43,4.8988,0.000000
44,4.8988,0.000000
45,4.8988,0.000000
46,4.8988,0.000000
47,4.8988,0.000000
48,4.8988,0.000000
49,4.8988,0.000000
50,4.8988,0.000000
51,4.8988,0.000000
52,4.8988,0.000000
53,4.8988,0.000000
54,4.8988,0.000000
55,4.8988,0.000000
56,4.8988,0.000000
57,4.8988,0.000000
58,4.8988,0.000000
59,4.8988,0.000000
60,4.8988,0.000000
61,4.8988,0.000000
62,4.8988,0.000000
63,4.8988,0.000000
64,4.8988,0.000000
65,4.8988,0.000000
66,4.8988,0.000000
67,4.8988,0.000000
68,4.8988,0.000000
69,4.8988,0.000000
70,4.8988,0.000000
71,4.8988,0.000000
72,4.8988,0.000000
73,4.8988,0.000000
74,4.8988,0.000000
75,4.8988,0.000000
76,4.8988,0.000000
77,4.8988,0.000000
78,4.8988,0.000000
79,4.8988,0.000000
80,4.8988,0.000000
81,4.8988,0.000000
82,4.8988,0.000000
83,4.8988,0.000000
84,4.8988,0.000000
85,4.8988,0.000000
86,4.8988,0.000000
87,4.8988,0.000000
88,4.8988,0.000000
89,4.8988,0.000000
90,4.8988,0.000000
91,4.8988,0.000000
92,4.8988,0.000000
93,4.8988,0.000000
94,4.8988,0.000000
95,4.8988,0.000000
96,4.8988,0.000000
