frame,openness,energy
265,7.0590,0.045632
266,7.2132,0.043330
267,7.7477,0.042414
268,7.0740,0.040857
269,7.6592,0.038431
270,7.8419,0.062328
271,7.8440,0.091830
272,7.7734,0.109370
273,8.0755,0.111712
274,8.0139,0.102421
275,7.7626,0.079132
276,8.1901,0.086803
277,8.0559,0.106328
278,7.7047,0.123257
279,7.4453,0.138225
280,7.8952,0.135528
281,7.7729,0.134672
282,7.6876,0.132811
283,7.9846,0.131002
284,8.3836,0.130137
285,8.4613,0.128600
286,8.2814,0.125731
287,7.8958,0.116083
288,8.0024,0.112599
289,7.4450,0.112720
290,7.2649,0.115224
291,7.2144,0.122904
292,7.3896,0.124764
293,7.4226,0.123142
294,7.5198,0.119802
295,7.5949,0.118459
296,7.3654,0.115588
297,7.8459,0.117939
298,7.8828,0.141907
299,8.0215,0.158938
300,7.8244,0.172253
301,7.8369,0.179170
302,8.1097,0.168589
303,7.7905,0.158221
304,7.7039,0.148521
305,7.3761,0.139267
306,7.4027,0.133280
307,7.3246,0.129389
308,7.4257,0.129596
309,7.3260,0.131743
310,7.6858,0.135927
311,7.4302,0.138258
312,7.1339,0.124777
313,7.2080,0.108060
314,6.9360,0.094655
315,7.4529,0.090797
316,8.2611,0.104649
317,8.6513,0.111059
318,8.0772,0.099949
319,7.9213,0.079329
320,7.5032,0.072012
321,7.5536,0.078952
322,7.0729,0.091764
323,6.9295,0.103616
324,7.0719,0.109610
325,6.8682,0.115705
326,6.7398,0.123702
327,7.7684,0.126851
328,7.7924,0.122897
329,7.5717,0.118182
330,7.5593,0.114086
331,7.5878,0.115666
332,7.8159,0.113812
333,7.5167,0.113229
334,7.5802,0.112841
335,7.4891,0.110394
336,7.5348,0.110269
337,7.7011,0.107348
338,7.4290,0.102949
339,7.3457,0.100035
340,7.5688,0.099253
341,7.3916,0.097605
342,7.8455,0.092898
343,7.6471,0.081795
344,7.8396,0.070082
345,8.2204,0.063587
346,8.3290,0.064414
347,8.2301,0.068509
348,7.6938,0.070923
349,7.8306,0.066314
350,7.6029,0.059113
351,7.9765,0.058570
352,7.9024,0.058851
353,8.7613,0.057313
354,9.4746,0.054232
355,10.0599,0.044584
356,9.3429,0.032755
357,10.1191,0.027476
358,9.9675,0.024707
359,10.4824,0.023074
360,10.4668,0.022794
361,9.6600,0.021115
362,9.1841,0.019318
363,8.4834,0.016754
364,7.6676,0.014669
365,7.7907,0.013150
366,8.0320,0.012204
367,7.5027,0.012807
368,7.3407,0.023046
369,7.1651,0.031489
370,7.2036,0.036796
371,6.6969,0.039507
372,6.7622,0.037519
373,7.8071,0.033728
374,7.7157,0.029991
375,7.7930,0.027863
376,7.8172,0.025286
377,7.5851,0.027451
378,7.4621,0.033155
379,7.5214,0.036692
380,7.9667,0.039817
381,8.1029,0.040277
382,7.5841,0.038657
383,7.4797,0.038110
384,7.7979,0.040136
385,6.2602,0.042263
386,6.2332,0.088893
387,6.1685,0.112272
388,5.8923,0.121965
389,5.7612,0.123675
390,5.2574,0.112726
391,6.4444,0.111555
392,6.4059,0.118028
393,6.4808,0.124042
394,6.5069,0.114759
395,6.6753,0.114103
396,6.7393,0.121205
397,6.7672,0.136648
398,7.1682,0.147019
399,6.9652,0.153633
400,7.5004,0.155238
401,7.3241,0.156405
402,7.3010,0.159210
403,7.2079,0.146012
404,6.8666,0.127469
405,7.1493,0.112317
406,6.8154,0.099439
407,6.3374,0.102539
408,7.2228,0.102154
409,6.2056,0.111438
410,6.5562,0.121447
411,6.8609,0.130753
412,7.3580,0.142483
413,7.4386,0.139762
414,7.5915,0.136584
415,7.5632,0.130106
416,7.2002,0.126729
417,7.1407,0.124399
418,7.3139,0.123192
419,7.2331,0.119476
420,7.3678,0.117022
421,6.9281,0.105548
422,6.6052,0.109020
423,6.2739,0.119644
424,5.9101,0.125819
425,6.1357,0.131171
426,6.8111,0.118427
427,7.4384,0.102019
428,7.3335,0.086535
429,7.2761,0.071996
430,7.1824,0.061840
431,6.8807,0.091791
432,7.0393,0.112280
433,7.0385,0.126899
434,7.0011,0.137021
435,7.1849,0.132482
436,7.9426,0.132925
437,7.6439,0.136005
438,7.6311,0.140095
439,7.4646,0.133679
440,6.6588,0.125519
441,6.2696,0.128815
442,6.9654,0.129854
443,7.3816,0.125145
444,7.4882,0.117387
445,7.4655,0.101464
446,7.6555,0.090960
447,8.5267,0.089082
448,8.1729,0.084944
449,7.8615,0.085469
450,7.9038,0.083501
451,7.9862,0.079740
452,8.1884,0.077763
453,8.0409,0.068320
454,7.4773,0.057339
455,7.8055,0.049932
456,7.8575,0.045678
457,7.6469,0.043821
458,7.4552,0.043254
459,7.8514,0.043912
460,8.2239,0.042502
461,8.6439,0.040029
462,8.2544,0.038344
463,7.7528,0.035209
464,7.7419,0.034272
465,7.6922,0.034990
466,7.8366,0.032314
467,7.4240,0.077194
468,7.0409,0.097952
469,7.0405,0.112129
470,6.5879,0.124167
471,6.4414,0.118029
472,7.1513,0.112690
473,7.1714,0.112323
474,7.1956,0.111644
475,6.9478,0.110894
476,6.8173,0.128592
477,6.9157,0.145064
478,6.7652,0.154938
479,6.7200,0.154952
480,7.6145,0.137583
481,7.2771,0.119786
482,6.7593,0.112226
483,6.7149,0.115193
484,6.9760,0.124147
485,7.0694,0.129899
486,7.5167,0.128726
487,7.4857,0.127170
488,7.5225,0.124141
489,7.5724,0.119269
490,7.6763,0.115525
491,7.7470,0.100079
492,7.6884,0.084635
493,7.1974,0.063748
494,6.9781,0.070581
495,6.9669,0.095117
496,6.9191,0.114658
497,6.7989,0.128351
498,6.7937,0.133454
499,6.8253,0.135754
500,6.8323,0.136422
501,7.4768,0.136073
502,8.0168,0.119114
503,7.8160,0.112854
504,7.1162,0.108566
505,7.1284,0.107561
506,7.6164,0.120596
507,7.7153,0.120259
508,7.7558,0.121949
509,8.1592,0.122587
510,7.8652,0.121026
511,7.8682,0.117589
512,7.9550,0.117827
513,8.0188,0.115516
514,7.8927,0.114786
515,7.6396,0.112881
516,8.1607,0.098405
517,8.2043,0.083336
518,8.5360,0.063733
519,8.6575,0.045283
520,9.2384,0.036494
521,9.1927,0.043349
522,7.9239,0.046744
523,8.1032,0.049576
524,7.9948,0.052375
525,8.3343,0.050270
526,8.7416,0.047293
527,8.5286,0.043657
528,7.6831,0.039115
529,7.2489,0.065644
530,7.1966,0.092461
531,6.9202,0.108265
532,6.9081,0.121998
533,7.4952,0.121185
